input	gold
げんちしゅうごう	現地集合
おひるたべるところないかとおもってそれは	お昼食べるところないかと思ってそれは
おひるをたべるところしゅうごう	お昼を食べるところ集合
そのごよしの	その後吉野
わいいーえす	yes
よしださんさんれいふんくらいしかあるけませんよ	吉田さん３０分くらいしか歩けませんよ
きんてつならからよしのまでにじかんじゃく	近鉄奈良から吉野まで2時間弱
でんしゃでにじかんですね	電車で２時間ですね
あるくのは	歩くのは
うえせんぼんまでえきからよんごふんそこまでいくかどうかですね	上千本まで駅から45分そこまで行くかどうかですね
ちゅうせんぼんはちかいし	中千本は近いし
どようにひだりひざをかっくんとしてしまってかいだんおりるのつらいかんじ	土曜に左膝をカックンとしてしまって階段降りるの辛い感じ
のぼりはいくけれどおりるのきついかも	上りは行けるけど降りるのきついかも
ばすとかないです	バスとかないです
でちゅうせんぼんまでで	じぁ中千本までで
ばすあるのかな	バスあるのかな
じゅうたいかくごでくるまですかね	渋滞覚悟で車ですかね
あるけますけれどかいだんがつらいだけですね	歩けますけど階段が辛いだけですね
かんがえときます	考えときます
おりるときにこんなにいんぱくとあるのだとりょうしんのきもちがやっとわかったところです	降りるときにこんなにインパクトあるんだと両親の気持ちがやっとわかったところです
やまのぼりとかくだりがつらいときありますね	山登りとか下りがつらいときありますね
げつようひはねんきゅうにしよー	月曜日は年休にしよう
よるのしがのどうきのそうべつかいがあるのでちょうどよいです	夜の滋賀の同期の送別会があるのでちょうどいいです
ほほう	ほほう
もれなくさとうくんもついてくる	もれなく佐藤くんもついてくる
うえせんぼんはかいだんなければいけそうですよ	上千本は階段無ければいけそうですよ
よんごふんがじじつならば	４５分が事実ならば
むりしていかなくてよいかと	無理していかなくてよいかと
よんはなしかんりょうばんだいんです	4話完了ヴァンダインです
さすがにえいぞうかされるとわかっちゃいますね	さすがに映像化されるとわかっちゃいますね
しょけんさんできずかないひといるらしいです	初見さんで気づかない人いるらしいです
いちかいめはどういつじんぶつってばれるのじゃない	1回目は同一人物ってばれるんじゃない
ってきもちではらはらしてみてたのですがにかいめからはどらまをたのしめました	って気持ちでハラハラしてみてたんですが２回目からはドラマを楽しめました
かしはらじんぐうまえとかどうでしょーしゅうごうちてん	橿原神宮前とかどうでしょう集合地点
いったことないいんねんのまち	行ったことない因縁の街
さかもとさんめちゃとおいですね	坂本さんめっちゃとおいですね
ちょうとっきゅうですかね	超特急ですかね
おーけーです	ＯＫです
じっかをきょてんにすればそうでもありません	実家を拠点にすればそうでもありません
ほう	ほう
ここがきになっていますがじかんのけいかくをしないと	ここが気になっていますが時間の計画をしないと
もうよやくできないとおもいますよ	もう予約できないと思いますよ
そうかも	そうかも
せきすうがすくない	席数が少ない
いや	いや
かんこうしーずんでみかまえにくうせきがあるみせとはおもえない	観光シーズンで３日前に空席がある店とは思えない
わたくしまっくでもよいとおもいますがぜったいこんでますね	私マックでも良いとおもいますが絶対混んでますね
どこも	どこも
おい	おい
だからこんびにもかくごしてます	だからコンビニも覚悟してます
はなみしーずんとはそういうものです	花見シーズンとはそういうものです
かしわられいえんのほうがよいかもですかね	柏原霊園のほうがいいかもですかね
いやたべるところもこんざつもあきらめてうけいれればよいだけかと	いや食べるところも混雑も諦めて受け入れればいいだけかと
あめがふればよいのですが	雨が降れば良いのですが
かくごのもんだいですね	覚悟の問題ですね
はい	はい
さんがつこうはんにしらべたときよやくできないことがわかったみせがいっぱいありました	３月後半に調べたとき予約できないことがわかった店がいっぱいありました
へえ	へー
はなみしーずんではるやすみですし	花見シーズンで春休みですし
どにちですし	土日ですし
でもじんぐうまえはよやくできそうかも	でも神宮前は予約できそうかも
よさげですねだいわやぎえきにしますか	よさげですね大和八木駅にしますか
ここはだからかくにんひつようですね	ここはだから確認必要ですね
ここもやぎですね	ここも八木ですね
ねっとでよやくかくにんできるのはやぎしかないですね	ネットで予約確認できるのは八木しかないっすね
でやぎで	じゃ八木で
はい	はい
いんねんのかしはらはとちゅうげしゃでも	因縁の樫原は途中下車でも
やぎとかしはらのいちかんけいしらんですけれど	八木と橿原の位置関係しらんですけど
にえき	二駅
ですか	ですか
おすきなかたよやくしてもらえますか	お好きな方予約してもらえますか
いまかよやくできそうなのはふじわらですがめにゅーがみつあります	今か予約できそうなのはふじわらですがメニューが３つあります
おまかせはさかなとにくがでてきそうですね	おまかせはサカナと肉がでてきそうですね
ぶなんにらんちびーをよやくしよかとおもいますがいちにじでよいですか	無難にランチBを予約しよかとおもいますが１２時でいいですか
はい	はい
かいてんじかんは	開店時間は
いちにじか	12時か
よやくかくていしました	予約確定しました
ごはなしまでみました	5話まで見ました
ぼくがもってるぶんこはいちきゅうきゅうはちでした	僕が持ってる文庫は1998でした
にごねんまえですかね	25年前ですかね
もっている	持っている
しんそうはんじゃないってことはばんだいんですはとちゅうででてくるやつだ	新装版じゃないってことはヴァンダインですは途中ででてくるやつだ
しんそうはんはひらいたさいしょのぎょうにこれがくるようにしゅうせいされたのでびっくりどがちがうのですよ	新装版は開いた最初の行にこれが来るように修正されたのでびっくり度がちがうんですよ
でんししょせきにかんけいないですけれど	電子書籍にゃ関係ないですけど
さんにろくぺーじめです	326ページ目です
はちぎょうめくらいにないですか	8行目くらいにないですか
なにかまんなかにあるのをみました	なんか真ん中にあるんをみました
ともだちがちゅうこをかったのですけれどひらくまえにわたくしにみせてくれたのですよ	友達が中古を買ったんですけど開く前に私に見せてくれたんですよ
しおりがはさんてるところをむいしきひらいたらそのぺーじでした	しおりが挟んでるところを無意識ひらいたらそのページでした
さいあくなうりぬしです	最悪な売り主です
あくいですね	悪意ですね
でもさいしょにこれをみてもたぶんわからんですね	でも最初にこれをみてもたぶんわからんですね
きょうはさきにいんねんのかしはらじんぐうをいちがんみてからゆうがたよしのにいくほうがこんざつをよけるかもとおもいましたがよしのはよるらいとあっぷもあるというじょうきょうです	今日は先に因縁の橿原神宮を一眼見てから夕方吉野に行くほうが混雑を避けれるかもと思いましたが吉野は夜ライトアップもあるという状況です
これさくらのきせついがいもしゅうけいされてますよね	これ桜の季節以外も集計されてますよね
はい	はい
できょうはあさからすでにとくべつこんてる	で今日は朝からすでに特別こんでる
ということですかね	ということですかね
さくらがさいていないよしのにそんなにひとがいくのでしょーか	桜が咲いていない吉野にそんなに人が行くんでしょうか
でもゆうがたにいくのさんせいですよ	でも夕方に行くの賛成ですよ
ではかしはらけいゆで	では橿原経由で
はい	はい
だいわやぎまできんてつだといちごふんです	大和八木まで近鉄だと15分です
いちいちじよんごふんにつきます	11時45分に着きます
のりまちがえなければ	乗り間違えなければ
いちごふんとは	15分とは
でんしゃにのるじかん	電車に乗る時間
たかいだから	高井田から
じてんしゃでいちぜろふんくらいのかわちこくぶからです	自転車で10分くらいの河内国分からです
なにと	なんと
そんなきんじょでしたか	そんな近所でしたか
かわちこくぶんがじゅんきゅうとかいっぱいとまるのでなんばまでもいちごふんくらいです	河内国分が準急とかいっぱい止まるのでなんばまでも15分くらいです
おおさかならのきょりかんをあやまってます	大阪奈良の距離感を誤ってます
わたくしもでしたがかしわらはならのまよこですから	私もでしたが柏原は奈良の真横ですから
たかいだがふべんなえきなのです	高井田が不便な駅なんです
えんそくのじゅんびしてたのですがすにーかーがない	遠足の準備してたんですがスニーカーがない
ちょうどよいのがしょーとぶーつしかなくあしがあつい	丁度いいのがショートブーツしかなく足が暑い
まもなくつきます	間もなく着きます
まってていりょうかしするとじょうげんなにぶんでしょー	間って定量化しすると上限何分でしょう
じゅうたいちゅうです	渋滞中です
んー	ん
くるまですか	車ですか
はい	はい
ちゅうしゃじょうありましたけね	駐車場ありましたっけね
さかもとさんにおいこされました	坂本さんに追い越されました
まいごになってました	迷子になってました
れすとらんであいましょー	レストランで会いましょう
つきました	着きました
たすけてこぜにがない	助けて小銭がない
そこですか	そこですか
うねびえき	畝傍駅
ろくぜろぜろえんなのにごきゅうぜろえんしかない	600円なのに590円しかない
あとまんさつ	あと万札
えきむじん	駅無人
でんしゃですかね	電車ですかね
くるま	車
いえそれがどこにあるのか	いえそれがどこにあるのか
よめないです	読めないです
くりっくしてください	クリックしてください
ひらけないのです	ひらけないんです
でれないのですか	出れないんですか
いがいととおいなここ	意外と遠いなここ
こんびにさがしてくる	コンビニ探してくる
はい	はい
れすとらんのすぐちかくにあったのに	レストランのすぐ近くにあったのに
ちゅうしゃじょう	駐車場
いちまんえんできっぷかえません	1万円で切符買えません
ちゅうしゃじょうじゃなかったかも	駐車場じゃなかったかも
ちかくのほてるくらいですかね	近くのホテルくらいですかね
せぶんにきました	セブンに来ました
どれにします	どれにします
わたくしはのんあるすぱーくりんぐ	私はノンアルスパークリング
やまとうしたかいだけのものがあるのかきになる	大和牛高いだけのものがあるのか気になる
ほほにく	頬肉
のみものは	飲み物は
たんさんすいてきなもの	炭酸水的なもの
ごれいれいみりりっとるせんえんしかないですけれど	５００ｍｌ千円しかないですけど
よしだとおなじて	吉田と同じて
はい	はい
たのみました	頼みました
ごゆっくり	ごゆっくり
おつかれさまです	お疲れ様です
あめがふってたりしますか	雨が降ってたりしますか
わたくしはらいふでかいものすたんぷをもらってぶじじてんしゃできたくしおふろでかふんをながしてすっきりしたところです	わたくしはライフで買い物スタンプをもらって無事自転車で帰宅しお風呂で花粉を流してすっきりしたところです
ぜんぜんふってません	ぜんぜん降ってません
ぼくもふろあがりです	ぼくも風呂上がりです
ねむい	眠い
はやいですね	はやいですね
あめふられました	雨降られました
いえきろもきたくごもあめのけはいはないですね	いえ帰路も帰宅後も雨の気配はないですね
かいものにじかんをかけてしまったのできたくはにいちじはんでしたが	買い物に時間をかけてしまったので帰宅は２１時半でしたが
えんそくでからだしかうごかしてなかったからかねむくないです	遠足で体しか動かしてなかったからか眠くないです
いまからあたまつかおーと	今から頭使おうっと
からだとのうはつながってないかんじですね	体と脳はつながってない感じですね
でもたぶんあすのあさはおきれないとおもいます	でもたぶん明日の朝は起きれないとおもいます
あたまがひろうをりかいしていないだけでしんたいはしょうじきです	頭が疲労を理解していないだけで身体は正直です
たぶんせっとわりめにゅーもあるかとおもいますがなれないきんちょうでしっぱい	多分セット割メニューもあるかと思いますが慣れない緊張で失敗
おっやすまなかったのですね	お休まなかったんですね
すたばはせっととかないとおもうな	スタバはセットとかないと思うなぁ
てんいんがおしえてくれるとおもうし	店員が教えてくれると思うし
てんいんとはなしたくない	店員と話したくない
あらよしださんはてんいんとはなしたいひとかとおもってました	あら吉田さんは店員と話したい人かと思ってました
じゅくせいにくばりに	熟成肉ばりに
そとづらはよいですがこみゅにけーしょんきらいです	外面はいいですがコミュニケーション嫌いです
あっかならずしもそとづらがよかったかというとあいてしだいなのでかなりぎもんでしたね	あ必ずしも外面が良かったかというと相手次第なのでかなり疑問でしたね
まーみなそんなかんじですよね	まみんなそんな感じですよね
よるのきょうとえきわたくしたちいがいがいこくにん	夜の京都駅私達以外外国人
えきのしゅうへんでした	駅の周辺でした
そうかきょうはきょうとでしたね	そっか今日は京都でしたね
さとうくんはおやのとちのぜいきんたいさくでちんたいけいえいしてるのですって	佐藤君は親の土地の税金対策で賃貸経営してるんですって
とちはちんたいたてたらしさんかちななかけなのすよ	土地は賃貸立てたら資産価値７掛けなんすよ
きゆうですみましたこちらもべんきょうのきかいにであえてよかったです	杞憂ですみましたこちらも勉強の機会に出会えて良かったです
へえ	へー
ああこれおおつにもあるらしいのですけれどどこかはしりません	あーこれ大津にもあるらしいんですけどどこかは知りません
おおつとかかごしまにもあるらしいです	大津とか鹿児島にもあるらしいです
あすはわいんふぇすですか	明日はワインフェスですか
あすあめですな	明日雨ですなぁ
ひさしぶりにべいこくかぶがげらくしたのでかいたくなりました	久しぶりに米国株が下落したので買いたくなりました
いままさにこのしちょうさんのこうえんかいをりょうしんがききにいってます	今まさにこの市長さんの講演会を両親が聞きに行ってます
ふぁんですか	ファンですか
つきあいです	付き合いです
かぶをかうのはどういうきもちなのです	株を買うのはどういう気持ちなんです
あらきょうはおかいどくみたいなすーぱーとくばいかんかくです	あら今日はお買い得みたいなスーパー特売感覚です
ざいこがいっぱいになっておこられるぱたーん	在庫が一杯になって怒られるパターン
かってもうらないからそうですね	買っても売らないからそうですね
ほんをもっていたいからかうのではなくていずれかちがあがることがうれしいからですよね	本を持っていたいから買うのではなくていずれ価値が上がることが嬉しいからですよね
かぶは	株は
はい	はい
このはんとしくらいしさんはもちだいとくせいではなくもちめとくせいだなとかんじてきました	この半年くらい資産は望大特性ではなく望目特性だなと感じてきました
かわせだとそうかもしれませんね	為替だとそうかもしれませんね
かわせじゃなくてしさんぜんぱん	為替じゃなくて資産全般
でもそのしゅんかんだからみらいのしさんじゃないですが	でもその瞬間だから未来の資産じゃないですが
いーかたをかえるといくらあればよいというもくひょうしだいといういみ	言い方を変えるといくらあれば良いという目標次第という意味
いまもみらいも	今も未来も
なかなかそういうしんきょうになるひとはすくなそう	なかなかそういう心境になれる人は少なそう
ななぜろさいまでいきるかわからないですがつかいきりたいのですよ	70歳まで生きるかわからないですが使い切りたいんですよ
それはそう	それはそう
きふでもしないとむり	寄付でもしないと無理
さいごのきふさきはたまと	最後の寄付先は玉と
たまにかんがえます	たまに考えます
さかもとさんはまだいえをたてるというびっぐなやぼうをおもちです	坂本さんはまだ家を立てるというビッグな野望をお持ちです
はい	はい
おかねとじかんをつかってやりたいことがあるのはよいことです	お金と時間を使ってやりたいことがあるのは良いことです
おおきなものをかわないとそんなにおかねはつかわないですね	大きなものを買わないとそんなにお金は使わないですね
ひととあたえるだけになったときじぶんがつまらないにんげんにかんずるかおうさまきぶんになるかひとによりますがじぶんはぜんしゃなのでぎりぎりでいきていくほうがよいなと	人と与えるだけになった時自分がつまらない人間に感じるか王様気分になれるか人によりますが自分は前者なのでギリギリで生きていくほうが良いなーと
そういえばよしのでばったりのかいしゃのひととはそのあとはなにかありました	そういえば吉野でばったりの会社の人とはその後は何かありました
あ	あ
きんようあう	金曜あう
はずやったのにさぼった	はずやったのにさぼった
どくしょかいのかだいとしょがでんしかされてなくてかいたくなかったばかりに	読書会の課題図書が電子化されてなくて買いたくなかったばっかりに
あらかしわらし	あら柏原市
しがけん	滋賀県
おきなわなぜ	沖縄なぜ
もうれんきゅうかいしなのかくるまがすくないですね	もう連休開始なのか車が少ないですね
えんやすがすごいですね	円安がすごいですね
にちぎんはきたいをうらぎらないですね	日銀は期待を裏切らないですね
こくみんはうらぎってますけれど	国民は裏切ってますけど
にっぽんぎんこうほうではにっぽんぎんこうのきんゆうせいさくのりねんをぶっかのあんていをはかることをつーじてこくみんけいざいのけんぜんなはってんにしすることとしています	日本銀行法では日本銀行の金融政策の理念を物価の安定を図ることを通じて国民経済の健全な発展に資することとしています
にちぎんからしたらしごとしてるだけやといーそう	日銀からしたら仕事してるだけやと言いそう
ぶっかはにぱーせんとをこえてない	物価は2％を超えてない
にもくひょうでになにとかならまあきょようはんいといーそう	2目標で2なんとかならまあ許容範囲と言いそう
かわせかいにゅうにははんたいのたちばです	為替介入には反対の立場です
いちじてきなものじゃなくてへいきんがどうのといってるしちんぎんがあがってないといってますね	一時的なものじゃなくて平均がどうのと言ってるし賃金が上がってないと言ってますね
だからきたいとおりえんやすになります	だから期待通り円安になります
そこでさいしょにもどりますがにちぎんのりねんはぶっかしかみてないのです	そこで最初に戻りますが日銀の理念は物価しか見てないんです
かれらはでふれをだっきゃくしてよろこんているとおもう	彼らはデフレを脱却して喜んでいると思う
きぎょうがじじょどりょくでぶっかをあげてなかっただけですけれどね	企業が自助努力で物価を上げてなかっただけですけどね
そうにっぽんきぎょうはこすとだうんしかいわない	そう日本企業はコストダウンしか言わない
やすいものをつくることばかりかんがえてる	安いものを作ることばかり考えてる
ふけんぜんなはってんじょうたいですけれどね	不健全な発展状態ですけどね
ただきんりをあげたらにちぎんのしゅうにゅうがへるといううわさも	ただ金利を上げたら日銀の収入が減るという噂も
きんりあがったらかねかしのにちぎんはもーかりそうなものですがちがうのですね	金利上がったら金貸の日銀は儲かりそうなもんですが違うんですね
まいなすきんりってあずけているとのあずかってるようにりえきがある	マイナス金利って預けているとの預かってるように利益がある
かりるよりあずかってるほうがおおいとへるこくないのとうしがすくないってことじゃないですか	借りるより預かってるほうが多いと減る国内の投資が少ないってことじゃないですか
かりるじゃなくてかす	借りるじゃなくて貸す
このへんよくわからないのできーたはなしですけれど	このへんよくわからないので聞いた話ですけど
たんきとうしかにはくにのほうしんよりしひょうなどをかいがいがどううけとめるかがじゅうようなのでちょっとふわとしてます	短期投資家には国の方針より指標などを海外がどう受け止めるかが重要なのでちょっとふわっとしてます
ぼくのしさんとしてはえんやすだいかんげいです	僕の資産としては円安大歓迎です
えんのうごきはこくみんせいかつにえいきょうあるのでじぶんのしさんにむすびつけたくないはです	円の動きは国民生活に影響あるので自分の資産に結びつけたくない派です
ちなみにとうれはことしごろくななのちんあげでした	ちなみに東レは今年567の賃上げでした
くみあいいんですが	組合員ですが
きゅうりょうあげないと	給料あげないと
やめていくし	辞めていくし
とくめい	トクメイ
というどらまでけいさつもけいひにぜろぱーせんとかつどうしてます	というドラマで警察も経費20％活動してます
はしもとたまきなかわいいけれどなにかやせすぎてる	橋本環奈かわいいけどなんか痩せすぎてる
なにですかそのかつどう	何ですかその活動
けいじかがむだづかいしてるってことでこすとかっとよういんとしてはしもとたまきながはけんされるのですがけいひぶんせきがおもしろい	刑事課が無駄遣いしてるってことでコストカット要因として橋本環奈が派遣されるんですが経費分析が面白い
めいたんていなのかめいたんていなのか	名探偵なのか迷探偵なのか
てぃーぶいいーあーるにぜんわありますね	tverに全話ありますね
けいさつとうさん	警察倒産
あまぷらでみてます	アマプラでみてます
まださんぜろふんですけれどなにかすきです	まだ30分ですけどなんか好きです
おこづかいいて	お小遣いて
らすとが	ラストが
くれーぷたべたい	クレープ食べたい
ねたばれきんしです	ネタバレ禁止です
しらんかった	知らんかった
しってた	知ってた
というかどらまとかでよくある	というかドラマとかでよくある
まじですか	マジっすか
なにでかなっておもってました	なんでかなって思ってました
とうじょうこうふきんからひこうきをみおくってたりしますよね	搭乗口付近から飛行機を見送ってたりしますよね
こんどやってみたいのでよしださんをみおくりにいきますわらい	今度やってみたいので吉田さんを見送りに行きます笑
こんどなんてあるかな	今度なんてあるかなぁ
おなじく	同じく
がいかたかくてこじんではいかないでしょ	外貨高くて個人ではいかないでしょ
こくないせんでもよいのですよね	国内線でもいいんですよね
こくないだとしんかんせんがよい	国内だと新幹線がいい
こうしょきょうふしょうなので	高所恐怖症なので
しゅっこくしんさをこえられるのですか	出国審査を超えられるんですか
あれたしかに	あれたしかに
こくないせんだけかな	国内線だけかな
てにもつとしかかいてないからむりそう	手荷物としか書いてないから無理そう
でもわたくしがどらまでみるのはかいがいのほうだったのですけれど	でも私がドラマで見るのは海外の方だったんですけど
できないですね	できないですね
かいがいというかかいがいどらま	海外というか海外ドラマ
あめりかのこくないせんだったのかな	アメリカの国内線だったのかな
むかしって	昔って
へえ	へぇ
つまりしってたというのはまちがいでした	つまり知ってたというのは間違いでした
こんなものをよくたてるきになりましたね	こんな物をよく立てる気になりましたね
にしびのせいであつくはつれいぼうちゅう	西日のせいで暑く初冷房中
すずえさんのははおやがははおやがとくめいなのがきになります	すずえさんの母親が母親が匿名なのが気になります
すずえさん	すずえさん
す	す
すずえさん	すゞゑさん
にゅうりょくたいへんやわ	入力大変やわ
どこのどなたです	どこのどなたです
つちのこをみつけたひとのむすめ	ツチノコを見つけた人の娘
ああ	ああ
ほんにんじゃないひとからのでんぶんってことのしょうめいですかね	本人じゃない人からの伝聞ってことの証明ですかね
きょくたんですね	極端ですね
かいにゅうなのか	介入なのか
あらあら	あらあら
さいきんえふえっくすしてないのですか	最近FXしてないんですか
ほんよんでます	本読んでます
なかなかのぺーすです	なかなかのペースです
なかなかのさつじんぺーすですかね	なかなかの殺人ペースですかね
にろくにちまでいちにんしかころされてないです	26日まで1人しか殺されてないです
それもたさつとじさつのあいだ	それも他殺と自殺の間
にろくにちにいっきにさんににん	26日に一気に32人
でもしゅうだんじさつ	でも集団自殺
よしださんはひとがしなないほんもよむのですね	吉田さんは人が死なない本も読むんですね
いっぱいしんでます	いっぱい死んでます
がねたばれになりますねどれもめいさくといわれてるのに	がネタバレになりますねどれも名作といわれてるのに
そういえばしんそうをおはなしますはさつじんがありますがすいりしょうせつではないのでかうんとがい	そういえば真相をお話しますは殺人がありますが推理小説ではないのでカウント外
きっとよまないのでねたばれおーけーです	きっと読まないのでネタバレokです
