input	gold
せがずいぶんたかい	背がずいぶん高い
かいさつぐちでてをふった	改札口で手を振った
じかんにおわれている	時間に追われている
きんじて	禁じて
じょしこうせい	女子高生
だっくすふんとはたんそくです。	ダックスフントは短足です。
おわりをむかえた	終わりを迎えた
かねのなるき	金のなる木
しょうてん	商店
べっどしーつをこうかんした	ベッドシーツを交換した
いわせるな	言わせるな
ならには	奈良には
かいごかんせい	下位互換性
けんざかいには	県境には
あいてをたたきのめす	相手を叩きのめす
けいししている	軽視している
おきなわこうくうびるでぃんぐ	沖縄航空ビルディング
とっぷちーむ	トップチーム
かんせいどがたかいのでおどろいた	完成度が高いので驚いた
あけましておめでとうございます	あけましておめでとうございます
そうしないのには	そうしないのには
こうしないのには	こうしないのには
のーべるしょうをとりました	ノーベル賞を取りました
いちごんいっくききもらさない	一言一句聞き漏らさない
うわぎをしちゃくする	上着を試着する
こうろうしょう	厚労省
こうせいろうどうしょう	厚生労働省
こくどこうつうしょう	国土交通省
しょうひしゃちょう	消費者庁
きょうたい	筐体
きどく	既読
そうるい	藻類
きざな	きざな
きざな	きざな
ぜんくつ	前屈
じゅうりょうせい	従量制
いやがおうでも	否が応でも
はばかります	憚ります
こうれい	高齢
とわ	永遠
りょうあんじ	龍安寺
はやまるな	早まるな
うきついちばん	浮津一番
うつだ	鬱だ
うつだ	鬱だ
てんさいとしかいいようがない	天才としか言いようがない
そのあとどうなるかは	その後どうなるかは
ばくそうする	爆走する
ゆうきがひつようだ	勇気が必要だ
ばーべきゅー	バーベキュー
にじゅうにかさなる	二重に重なる
さんじゅうにかさなる	三重に重なる
わかりづらくなる	分かりづらくなる
そういうこと	そういうこと
れべるのさでひどいことになる	レベルの差でひどいことになる
わざのうまさにおどろいた	技のうまさに驚いた
いってる	言ってる
りょうほう	両方
てれこむ	テレコム
しゅうせいされずにいた	修正されずにいた
これぐらいだとおもいます	これぐらいだと思います
なんかいかやっているので	何回かやっているので
とうきょうでぃずにー	東京ディズニーシー
ぱわふる	パワフル
てんいんにきけよ	店員に聞けよ
これがぶなんそうだった	これが無難そうだった
そんなにうつくしいひとだとはおもわなかったので	そんなに美しい人だとは思わなかったので
ゆうきがいります	勇気がいります
すーつのぼたんをかけちがっている	スーツのボタンをかけちがっている
そんなことをきにするな	そんなことを気にするな
それをきにしたら	それを気にしたら
それはきにしないほうがいい	それは気にしないほうがいい
それをきにしないなら	それを気にしないなら
からはなしたけど	から話したけど
そうなったぶんだけでも	そうなった分だけでも
こうかんじょうほう	交換情報
ちゅうもんじきにもよるけど	注文時期にもよるけど
そういうはなしができるじきがきたら	そういう話ができる時期が来たら
むこうのかんがえもよくきいてくれ	向こうの考えもよく聞いてくれ
なんしゅうもおくれてしまったので	何周も遅れてしまったので
つきあっていちねんはんで	付き合って１年半で
いちねんはんほどつきあった	１年半ほど付き合った
ちょうれいのあとはかいぎだ	朝礼のあとは会議だ
さんねんはんの	３年半の
ごねんはんの	５年半の
かってにぐちって	勝手に愚痴って
しはいよくがおおきいひとだ	支配欲が大きい人だ
よくよくかんがえたら	よくよく考えたら
としをとるとびょういんのはなしばかりになる	歳をとると病院の話ばかりになる
おやのありがたみがみにしみた	親のありがたみが身にしみた
てきみかたかんけいなく	敵味方関係なく
このみによるとしかいいようがない	好みによるとしか言いようがない
みにゅうりょくのもじを	未入力の文字を
ひとのひょうかをきにするな	人の評価を気にするな
おおもとのじしょでは	大本の辞書では
さいりようしてください	再利用してください
さいちぇっくしてください	再チェックしてください
さいあくせすしてください	再アクセスしてください
さいあたっくしてください	再アタックしてください
さいわりびきしてください	再割引してください
ここからさきは	ここから先は
あさひがでてきたので	朝日が出てきたので
ここでおわるはずがないのに	ここで終わるはずがないのに
ここでかうから	ここで買うから
5まんえんごえのしょうひん	５万円超えの商品
せんぱいごえをめざす	先輩超えを目指す
あしきたぐん	葦北郡
たごうら	田子浦
あいろんがわりにつかう	アイロン代わりに使う
あそうわん	浅茅湾
たちあらい	大刀洗
ぐぐってみたけど	ググってみたけど
そざいがぷらすちっくなので	素材がプラスチックなので
よろしくおねがいします	よろしくお願いします
がいこくめーかーのものはからだにあわない	外国メーカーのものは体に合わない
よかったりする	良かったりする
1つめのはなしは	１つ目の話は
えいえいじてん	英英辞典
かうかちがあるとおもうなら	買う価値があると思うなら
みにおぼえのない	身に覚えのない
まめまめしい	まめまめしい
さかもとりゅういち	坂本龍一
あさごはん	朝ごはん
ひるごはん	昼ご飯
とっけつ	突厥
とっくつ	突厥
かいかい	開会
ふいふい	回回
れいわがんねん	令和元年
やくたたず	役立たず
むびゅう	無謬
むびゅうせい	無謬性
ごびゅう	誤謬
しんせん	新鮮
ふたつ	２つ
からだき	空焚き
ししゅう	刺繍
そうけつ	総穴
あかつきにふねをいだす	暁に船を出だす
さいのうをみいだす	才能を見出す
きそう	競う
なぞめいてて	謎めいてて
しょくじをしたにもかかわらず	食事をしたにもかかわらず
はっせんえん	ハッ千円
はっせんえん	ハッ千円
ひらぶんでおくる	平文で送る
うっぷんばらし	鬱憤晴らし
こういしつ	更衣室
にようそにんしょう	二要素認証
たようそにんしょう	多要素認証
ぎんこうこうざのかいせつ	銀行口座の開設
きんとれ	筋トレ
おくぶたえ	奥二重
にほんじゅう	日本中
にっぽんじゅう	日本中
こういんしょう	好印象
じってんぽ	実店舗
うらめん	裏面
にだんかいうせつ	二段階右折
にだんかいにんしょう	二段階認証
ひともうけ	一儲け
ひゃっきん	百均
あわのくに	阿波国
うぜん	羽前
ごきはちどう	五畿八道
びんごのくに	備後国
りくおう	陸王
すげかえれば	すげ替えれば
こうじょ	控除
りゅうこうごたいしょう	流行語大賞
たんろくでんち	単６電池
もうご	もう五
ふもうご	不妄語
ぜんざいさん	全財産
あんぜんせいのこうじょう	安全性の向上
へんしんまち	返信待ち
ゆうせんでもむせんでも	優先でも無線でも
さぶすく	サブスク
ばうんしゃ	馬運車
しんしょかいふうざい	信書開封罪
あいしんかくら	愛新覚羅
らのべ	ラノベ
こんせ	今世
こんぜ	今世
こんせい	混成
しんちょうにはこぶ	慎重に運ぶ
ぎろんになんしょくをしめす	議論に難色を示す
おんどをおどる	音頭を踊る
かいぜんしとうぞんじます	改善しとう存じます
こきゅう	呼吸
こうばいりょくへいか	購買力平価
じゅうまん	充満
じゅうまんえん	充満園
たいせつ	大切
はいせつ	排泄
りねーむ	リネーム
はいたしょり	排他処理
じきしょうそう	時期尚早
りまいんど	リマインド
ひとり	一人
ふたり	二人
いっこ	一個
いっぽん	一本
そっかん	速乾
かんりめいがら	監理銘柄
うとろ	ウトロ
ひかりの	光の
ちえんべつ	知円別
おんねない	温根内
ほじょう	圃場
くわたけいすけ	桑田佳祐
きかいがとまる	機械が止まる
せいどがひくい	精度が低い
おもしろいねえ	面白いねえ
かれはみかたなのか	彼は味方なのか
しっちゃく	失着
さいひんち	最頻値
くうしゅうごう	空集合
たいしょうがい	対象外
かいていこう	書いていこう
けっていこう	決定稿
さいしゅうこう	最終稿
しゅうせいこう	修正稿
じゅうごふん	中五分
にじゅうごびょう	二重五秒
ごじゅうにち	五十日
じゅうはちねん	中八年
ごかい	誤解
ごかいする	誤解する
いっきょう	一興
いっきょうたじゃく	一強他弱
もどりち	戻り値
こころここにあらず	心ここにあらず
ほっけ	ホッケ
かんじょうば	勘定場
かくしゃ	各社
いちじんしゃ	一迅社
とうよ	投与
けいゆう	経由
おっぱ	オッパ
いりなか	いりなか
よねずけんし	米津玄師
そきゃく	阻却
いほうせいがそきゃくされる	違法性が阻却される
かいほう	解放
いんきゃ	陰キャ
あおぞらぎんこう	あおぞら銀行
ゆうちょぎんこう	ゆうちょ銀行
えんけい	円形
きったん	切ったん
はきいん	破毀院
わいろざい	賄賂罪
いけいざい	異経済
こうこう	高校
きゅうせいこうこう	旧制高校
かんじ	感じ
はんき	半期
げんしきょうさんしゅぎ	原始共産主義
こうはんいんさつ	孔版印刷
しゃしんしょくじ	写真食事
けいらんし	鶏卵紙
とどがさき	魹ヶ崎
くぬぎ	クヌギ
ねぶたに	ねぶたに
みぬめ	敏馬
みぬめじんじゃ	敏馬神社
みるめじんじゃ	敏馬神社
けつりょう	結了
はくしかてい	博士課程
いねこき	稲核
かぜをひく	風邪をひく
さいじょうひでき	西城秀樹
もくさじんじゃ	儛草神社
ひんてぃんぐ	ヒンティング
こめだこーひーてん	コメダ珈琲店
むしょう	無償
むしょうしんりょうじょ	無床診療所
ゆうしょう	優勝
ゆうしょうしんりょうじょ	有床診療所
じんじょうしょう	尋常小
ちょうせんかいきょう	朝鮮海峡
かじょうわん	渦状腕
ぽるてぃちのおしむすめ	ポルティチの唖娘
えつご	粤語
かんち	感知
しなごは	シナ語派
しゅかい	珠海
きご	季語
びんご	ビンゴ
ぴんいん	拼音
ごうしかいしゃ	合資会社
きかんせっけい	機関設計
れいたくだいがく	麗澤大学
しゅうこう	就航
ちゅうごくこうていいん	中国工程院
きたにっぽんしんぶんはい	北日本新聞杯
こうぶんかいせきき	構文解析器
とかさくせん	渡河作戦
すみけし	墨消し
いりなかえき	いりなか駅
ごかんかんじ	互換漢字
こうきぶしゅ	康煕部首
ちゅうおんじぼ	注音字母
ちゅうおん	中音
いもじ	鋳物師
いもじ	鋳物師
かんじこうせいきじゅつもじ	漢字構成記述文字
かわきもの	乾き物
そけんのらんよう	訴権の濫用
こうそけんのらんよう	公訴権の濫用
じみんとうそうさいせん	自民党総裁選
せっていかえるか	設定変えるか
とくにはございません	特にはございません
とくにはありません	特にはありません
ひとこない	人来ない
まいとしこうれい	毎年恒例
いちまん	一万
ていせいぶん	訂正文
ていせいぶん	訂正文
ぷらちなでびっと	プラチナデビット
あいこんかえるか	アイコン変えるか
きしょう	気象
おとまり	お泊り
たしました	足しました
こじんよう	個人用
からめて	絡めて
はなしていた	話していた
はなしています	話しています
でましたら	出ましたら
あきのことである	秋のことである
むしろふろでて	むしろ風呂出て
あおいそらに	青い空に
なんどか	何度か
ごたんとうしゃ	ご担当者
しょうがいぐらんどすらむ	生涯グランドスラム
しょうじき	正直
かいます	買います
みておくれ	見ておくれ
たちぎえ	立ち消え
みつけしだい	見つけ次第
かってに	勝手に
くまもととながの	熊本と長野
わかいんだから	若いんだから
しんでない	死んでない
ごじゆうに	ご自由に
きょうごうせい	競合性
どうがん	童顔
さそおう	誘おう
これいがいにも	これ以外にも
てきしているものは	適しているものは
すき	好き
たいじんかんけい	対人関係
たいじんすきる	対人スキル
ほかのようじもできた	他の用事もできた
みたことないとりいる	見たことない鳥いる
れいしょう	冷笑
いっかい	一回
いっかい	一回
にじ	二時
さんしゅう	三周
さんしゅう	三周
よじ	よじ
よじ	よじ
ごかい	誤解
ごかい	誤解
ろくが	録画
ろくが	録画
ななちゃん	無無ちゃん
はってん	発展
きゅうしゅう	吸収
せんこう	選考
せんこうとともに	選考とともに
おふろはいりません	お風呂入りません
きいてください	聞いてください
みもふたもない	身も蓋もない
けがのこうみょう	怪我の功名
たなからぼたもち	店からぼたもち
たなからぼたもち	店からぼたもち
ふこうちゅうのさいわい	不幸中の幸い
まったなし	待ったなし
おしもおされもせぬ	押しも押されもせぬ
おしもおされぬ	押しも押されぬ
ぬきさしならぬ	抜き差しならぬ
へんむてき	片務的
ねんのため	念の為
