input	gold
ちょうじゅうきしんだんくーがじゅうせんきたいやってやるぜらいぶふじわらしのぶ	超獣機神ダンクーガ獣戦機隊やってやるぜライブ藤原忍
みつげつうちゅうきかく	蜜月宇宙企画
やんさんとにっぽんのひとびとかとうたろう	ヤンさんと日本の人々加藤太郎
だいやくこうにん	代役後任
にぜろによんねんからはいちぶのさくひんでもちやくをこうたいしている	2024年からは一部の作品で持ち役を交代している
やおのだいやくこうにんはいかのとおり	矢尾の代役後任は以下の通り
きゃくちゅう	脚注
ちゅうしゃく	注釈
しゅってん	出典
がいぶりんく	外部リンク
よよぎあにめーしょんがくいん	代々木アニメーション学院
あめりかがっしゅうこくくうぐんあるいはたんにがっしゅうこくくうぐんほかにべいくうぐんともよばれる	アメリカ合衆国空軍あるいは単に合衆国空軍ほかに米空軍とも呼ばれる
こっかせいさくをしえんすること	国家政策を支援すること
こっかもくひょうをじっこうすること	国家目標を実行すること
べいこくのへいわとあんぜんをおびやかすしんりゃくこういをおこなったこっかをせいあつすること	米国の平和と安全を脅かす侵略行為を行った国家を制圧すること
としている	としている
がいせつ	概説
せつりつからきょうまでせかいかくちのおおくのせんそうやふんそうにかんよしてきたれきしがある	設立から今日まで世界各地の多くの戦争や紛争に関与してきた歴史がある
せんとうきばくげききゆそうきたいりくかんだんどうみさいるなどをよーしせいくうこうくうこうげきぶっしゆそうかくよくしのうりょくほじがにんむのちゅうしんである	戦闘機爆撃機輸送機大陸間弾道ミサイルなどを擁し制空航空攻撃物資輸送核抑止能力保持が任務の中心である
またぐんじえいせいうちあげうんようにおいてもちゅうしんてきなやくわりをはたしている	また軍事衛星打ち上げ運用においても中心的な役割を果たしている
たいせんしょうかいきおよびかんさいきはあめりかかいぐんこうげきへりこぷたーおよびちょうきょりちたいくうみさいるはあめりかりくぐんのかんかつとなりそれらはゆーしていない	対潜哨戒機および艦載機はアメリカ海軍攻撃ヘリコプターおよび長距離地対空ミサイルはアメリカ陸軍の管轄となりそれらは有していない
そうたいてきにほんどぼうくうにんむのわりあいはひくくそれはよびへいりょくがしゅたいとなっている	相対的に本土防空任務の割合は低くそれは予備兵力が主体となっている
しょうらいてきにはごーるでんどーむがはいびされぼうくうのうりょくがおーきくこうじょうするとみられている	将来的にはゴールデンドームが配備され防空能力が大きく向上するとみられている
れきし	歴史
つうしんたいないにせつりつされたのはききゅうぶたいがつうしんたいのしょくしょうにあったからであった	通信隊内に設立されたのは気球部隊が通信隊の職掌にあったからであった
だいいちじせかいたいせん	第一次世界大戦
いちきゅういちななねんあめりかがっしゅうこくがだいいちじせかいたいせんにさんせんした	1917年アメリカ合衆国が第一次世界大戦に参戦した
えでぃーりっけんばっかーたいいとふらんくるーくたいいなどがえーすげきついおうとなった	エディリッケンバッカー大尉とフランクルーク大尉などがエース撃墜王となった
このじきこうくうたいはしんぎじゅつのじっけんをかいしした	この時期航空隊は新技術の実験を開始した
だいにじせかいたいせん	第二次世界大戦
つぎなるへんかはだいにじせかいたいせんによってもたらされた	次なる変化は第二次世界大戦によってもたらされた
りくぐんこうくうぐんはちじょうぶたいにじゅうぞくしないさくせんしきけんをもつようになりりくぐんちじょうぐんやかいぐんとどうとうのはつげんりょくをもつにいたった	陸軍航空軍は地上部隊に従属しない作戦指揮権を持つようになり陸軍地上軍や海軍と同等の発言力を持つに至った
よーろっぱにおいてあめりかりくぐんこうくうぐんはひるまばくげきをかいしした	ヨーロッパにおいてアメリカ陸軍航空軍は昼間爆撃を開始した
とうごうさんぼうほんぶではえいこくくうぐんのけいかくりつあんしゃたちがはんたいしたがそれをおしきってのことだった	統合参謀本部では英国空軍の計画立案者たちが反対したがそれを押し切ってのことだった
このばくげきぎょうのへいたんしえんこうどうはくうゆによっておこなわれひまらやこえはんぷこえとしてゆうめいである	この爆撃行の兵站支援行動は空輸によって行われヒマラヤ越えハンプ越えとして有名である
だいにじせかいたいせんご	第二次世界大戦後
はりーえすとるーまんだいとうりょうがこっかあんぜんほしょうほうにしょめいしりくぐんこうくうぐんはりくぐんからどくりつしあめりかがっしゅうこくくうぐんしょうがせつりつされた	ハリーSトルーマン大統領が国家安全保障法に署名し陸軍航空軍は陸軍から独立しアメリカ合衆国空軍省が設立された
いちきゅうよんはちねんひがしどいつのきょうさんしゅぎせいけんはいぎりすあめりかふらんすのかんりかにあったにしべるりんへのどうろをふうさした	1948年東ドイツの共産主義政権はイギリスアメリカフランスの管理下にあった西ベルリンへの道路を封鎖した
このためにしべるりんではせいかつひつじゅひんのふそくなどしみんせいかつにただいなししょうがしょーじた	このため西ベルリンでは生活必需品の不足など市民生活に多大な支障が生じた
ちょうせんせんそう	朝鮮戦争
いちきゅうごぜろねんろくがつにごにちにちょうせんせんそうがはじまるとあめりかくうぐんはただちにじこくみんをたいひさせた	1950年6月25日に朝鮮戦争が始まるとアメリカ空軍はただちに自国民を退避させた
しかしあめりかきょくとうくうぐんげんそんしないぐんだんはかんこくきんぽのきょてんくうぐんきちをうしなった	しかしアメリカ極東空軍現存しない軍団は韓国金浦の拠点空軍基地を失った
そのけっかこりつしたふざんのしゅびぶたいにたいしてにっぽんからとびたってきんせつこうくうしえんをおこなわなくてはならなくなった	その結果孤立した釜山の守備部隊に対して日本から飛び立って近接航空支援を行わなくてはならなくなった
これをうけてきょくとうくうぐんはもとのきちへとふっきしそれらのきちをきょてんとしてきたちょうせんとちゅうごくのこっきょうふきんまでのしんげきをしえんした	これを受けて極東空軍は元の基地へと復帰しそれらの基地を拠点として北朝鮮と中国の国境付近までの進撃を支援した
こうくうせんりょくではあめりかくうぐんはかんぜんにせいくうけんをにぎっておりれんじつのようにきたちょうせんにたいしてばくげきをすいこうした	航空戦力ではアメリカ空軍は完全に制空権を握っており連日のように北朝鮮に対して爆撃を遂行した
しかしいちきゅうごぜろねんいちぜろがつにちゅうごくぐんがぜんめんてきにきたちょうせんをしえん	しかし1950年10月に中国軍が全面的に北朝鮮を支援
ちなみにこれがせかいはつのじぇっとせんとうきどうしのたいけつである	ちなみにこれが世界初のジェット戦闘機同士の対決である
いちきゅうごぜろねんいちにがつのちゅうごくじんみんしがんぐんによるはんこうじにはくうぐんはせんじゅつこうくうしえんをおこなった	1950年12月の中国人民志願軍による反攻時には空軍は戦術航空支援を行った
ちょうせんせんそうがきゅうせんとなりとうしょからせんりょくふそくがしてきされていたせんじゅつこうくうぐんだんてぃーえーしーのじゅうじつかにちからをそそいた	朝鮮戦争が休戦となり当初から戦力不足が指摘されていた戦術航空軍団TACの充実化に力を注いだ
とうじはえすえーしーにもせんとうきひこうたいがそんざいしておりてぃーえーしーといっせんをひーていた	当時はSACにも戦闘機飛行隊が存在しておりTACと一線を引いていた
しかしえすえーしーはせんりゃくみさいるなどのぶたいをさんかにおさめくうぐんではさいだいのぐんだんにせいちょうした	しかしSACは戦略ミサイルなどの部隊を傘下に収め空軍では最大の軍団に成長した
はつのじょせいしかんこうほせいはいちきゅうはちぜろねんごがつにはちにちにそつぎょうした	初の女性士官候補生は1980年5月28日に卒業した
べとなむせんそう	ベトナム戦争
とうしょあめりかはぐりーんべれーなどのぐんじこもんだんのはけんやぶきのていきょうでみなみべとなむをえんじょしていたがじょんそんだいとうりょうがしゅうにんごせんきょうはかくだいした	当初アメリカはグリーンベレーなどの軍事顧問団の派遣や武器の提供で南ベトナムを援助していたがジョンソン大統領が就任後戦況は拡大した
いちきゅうろくよんねんはちがつにとんきんわんじけんがはっせいしあめりかはこれをこうじつとしてはちがつごにちにきたべとなむへのばくげきをめいれいする	1964年8月にトンキン湾事件が発生しアメリカはこれを口実として8月5日に北ベトナムへの爆撃を命令する
くうぐんはせんとうきやばくげききをみなみべとなむやしゅうへんこくのきちへのはけんじゅんびをかいしした	空軍は戦闘機や爆撃機を南ベトナムや周辺国の基地への派遣準備を開始した
そのごじっさいにくうぐんがほくばくをかいししたのはいちきゅうろくごねんにがつからである	その後実際に空軍が北爆を開始したのは1965年2月からである
このじきのくうぐんはかくせんりょくのせいびにちからをそそいておりべとなむせんそうのようなつうじょうへいきをもちーたせんそうにはさいてきかされていなかった	この時期の空軍は核戦力の整備に力を注いでおりベトナム戦争のような通常兵器を用いた戦争には最適化されていなかった
このほかれーざーゆうどうばくだんたいれーだーみさいるなどのしんへいきがかいはつされうんようされた	このほかレーザー誘導爆弾対レーダーミサイルなどの新兵器が開発され運用された
じょんそんだいとうりょうはいちきゅうろくはちねんにほくばくをていし	ジョンソン大統領は1968年に北爆を停止
ていせんきょうていにはいる	停戦協定に入る
しかしにくそんだいとうりょうがあらたにだいとうりょうにしゅうにんするといちきゅうろくきゅうねんろくがつからべいぐんのいちぶをてったいさせはじめへいわこうさくをおこなったことからじたいをいっぺんさせた	しかしニクソン大統領が新たに大統領に就任すると1969年6月から米軍の一部を撤退させはじめ平和工作を行ったことから事態を一変させた
きたべとなむはちじょうぶたいをしゅうけつさせいっきになんかしはじめた	北ベトナムは地上部隊を集結させ一気に南下し始めた
このときすでにべいりくぐんのほとんどはてったいしておりきたべとなむぐんにていこうできるのはべいくうぐんべいかいぐんべいかいへいたいのこうくうせんりょくだけとなった	この時既に米陸軍の殆どは撤退しており北ベトナム軍に抵抗できるのは米空軍米海軍米海兵隊の航空戦力だけとなった
にくそんはほくばくをさいかいしきたべとなむをこうげきした	ニクソンは北爆を再開し北ベトナムを攻撃した
このこうげきできたべとなむもぱりわへいきょうていにさんかいちきゅうななさんねんいちがつにていせんにごういした	この攻撃で北ベトナムもパリ和平協定に参加1973年1月に停戦に合意した
れいせん	冷戦
れいせんきにおいてはそれんをかそうてきとしてかくせんそうにたいするけいかいじゅんびをおこなっていた	冷戦期においてはソ連を仮想敵として核戦争に対する警戒準備を行っていた
いちきゅうよんぜろねんだいこうはんにおいてはかくへいきはおおがたかくばくだんしかなくそれをうんようできるのはくうぐんのみであった	1940年代後半においては核兵器は大型核爆弾しかなくそれを運用できるのは空軍のみであった
いちきゅうごぜろねんだいこうはんにあとらすなどたいりくかんだんどうみさいるがじつようかされるとこれもくうぐんのかんかつとなった	1950年代後半にアトラスなど大陸間弾道ミサイルが実用化されるとこれも空軍の管轄となった
じっさいにはみさいるぎゃっぷはきょこうにすぎなかったのだがいちきゅうろくぜろねんだいではかくだんとうをとうさいしたばくげききがあめりかほんどじょうくうをとぶことがにちじょうかしていた	実際にはミサイルギャップは虚構にすぎなかったのだが1960年代では核弾頭を搭載した爆撃機がアメリカ本土上空を飛ぶことが日常化していた
そのためぶろーくんあろーかくだんとうがばくはつはかいとうなんかくとうさいきのついらくなどのひじょうじたいにそうとうするじこもたすうはっせいしている	そのためブロークンアロー核弾頭が爆発破壊盗難核搭載機の墜落などの非常事態に相当する事故も多数発生している
わんがんせんそう	湾岸戦争
いちきゅうきゅういちねんのわんがんせんそうはあめりかくうぐんにとってべとなむせんそういらいのだいきぼなぶりょくしょうとつであった	1991年の湾岸戦争はアメリカ空軍にとってベトナム戦争以来の大規模な武力衝突であった
いらくのくうぇーとしんこうごただちにちゅうとうへのぶたいてんかいをおこないいちきゅうきゅうぜろねんはちがつななかにはさうじあらびあでぼうくうにんむをかいしした	イラクのクウェート侵攻後直ちに中東への部隊展開を行い1990年8月7日にはサウジアラビアで防空任務を開始した
またぐんじくうゆぐんだんのほかみんかんよびこうくうたいのどういんをおこないがっしゅうこくほんどやよーろっぱからじんいんちじょうせんりょくのゆそうをじっししている	また軍事空輸軍団のほか民間予備航空隊の動員を行い合衆国本土やヨーロッパから人員地上戦力の輸送を実施している
ぼすにあとこそぼ	ボスニアとコソボ
いちきゅうきゅうごねんにでりばりっと・ふぉーすさくせんいちきゅうきゅうきゅうねんにあらいどふぉーすさくせんがじっしされている	1995年にデリバリット・フォース作戦1999年にアライドフォース作戦が実施されている
かいぐんどうめいこくぐんとともにおこなったこれらのさくせんではゆうどうへいきがたようされせるびあせいりょくをじゃくたいかさせるせんかをあげた	海軍同盟国軍と共に行なったこれらの作戦では誘導兵器が多用されセルビア勢力を弱体化させる戦果を挙げた
いらくとあふがにすたん	イラクとアフガニスタン
にぜろぜろさんねんにはさだむふせいんせいけんだとうのためのいらくせんそうにもとうにゅうされている	2003年にはサダムフセイン政権打倒のためのイラク戦争にも投入されている
しき	指揮
あめりかくうぐんのちょうはくうぐんさんぼうそうちょうがつとめよんつほしのしょうかんであるたいしょうがにんめいされる	アメリカ空軍の長は空軍参謀総長が務め4つ星の将官である大将が任命される
ほかのとうごうさんぼうほんぶのめんばーとおなじくくうぐんさんぼうそうちょうにこうくうぶたいにたいするさくせんじょうのちょくせつしきけんはない	他の統合参謀本部のメンバーと同じく空軍参謀総長に航空部隊に対する作戦上の直接指揮権は無い
くうぐんさんぼうそうちょうにぶたいしきけんはないもののかくぐんのさんぼうそうちょうとともにとうごうさんぼうほんぶをこうせいしだいとうりょうにぐんじじょうのあどばいすをするたちばにある	空軍参謀総長に部隊指揮権は無いものの各軍の参謀総長と共に統合参謀本部を構成し大統領に軍事上のアドバイスをする立場にある
そしき	組織
またくうぐんさんぼうほんぶがぶたいかんりのせきにんをゆーしておりさいこうせきにんしゃはぐんじんのくうぐんさんぼうそうちょうしーえすえーえふとなる	また空軍参謀本部が部隊管理の責任を有しており最高責任者は軍人の空軍参謀総長CSAFとなる
しーえぬにさんごご	CN2355
にさん	23
せすなにぜろはちに	セスナ2082
がるふすとりーむじーごごぜろいち	ガルフストリームG5501
いち	1
いちいち	11
びーちくらふとばろんいち	ビーチクラフトバロン1
じーいちにぜろてぃーぴーに	G120TP2
かいきゅう	階級
しかん	士官
くうぐんのしかんのかいきゅうはしょうかんさかんいかんのさんしゅるいにわけられる	空軍の士官の階級は将官佐官尉官の3種類に分けられる
